category,answer_id,question_id,question_title,author_name,char_count,story_score,voteup_count,favorite_count,url,txt_file,json_file,sha256
01_悬疑惊悚,692957547,318486013,是什么样的鬼故事吓了你十几年？,匿名用户,5158,1.0,4579,1693,https://www.zhihu.com/question/318486013/answer/692957547,01_悬疑惊悚/692957547_318486013.txt,01_悬疑惊悚/692957547_318486013.json,e22e74195175ebe45344631cbeca54fb94519e6fa6cb656d6b5a4bddd69bc0c3
01_悬疑惊悚,3079881047,419328419,民间有哪些灵异禁忌？,灵猫故事会,8951,1.0,4527,294,https://www.zhihu.com/question/419328419/answer/3079881047,01_悬疑惊悚/3079881047_419328419.txt,01_悬疑惊悚/3079881047_419328419.json,b3b5e99a0d1bb940d00579091aa701005daee88c657be9aec3527520faab25dc
01_悬疑惊悚,3212845094,60878189,人性到底可以恐怖到什么地步？,初见,9956,1.0,4338,1577,https://www.zhihu.com/question/60878189/answer/3212845094,01_悬疑惊悚/3212845094_60878189.txt,01_悬疑惊悚/3212845094_60878189.json,55c45ae29d89b9de6ca4e560cb3fa30007e000ee1ce46a08ad0a9ee152729bde
01_悬疑惊悚,2469014191,505507304,有没有高质量的规则类怪谈？,ANDRED-SLYUMOV,5664,1.0,4129,4438,https://www.zhihu.com/question/505507304/answer/2469014191,01_悬疑惊悚/2469014191_505507304.txt,01_悬疑惊悚/2469014191_505507304.json,38aa505816e2d21eae3c08c7ff856e8750e54712f981a78d29a4e72babd901fe
01_悬疑惊悚,2097215871,46404678,有哪些剧情反转的有趣故事？,小尘,6481,1.0,4101,3284,https://www.zhihu.com/question/46404678/answer/2097215871,01_悬疑惊悚/2097215871_46404678.txt,01_悬疑惊悚/2097215871_46404678.json,583aa47ddfa247dc5f3501ca241921596be49e65bac4f504a320c52c4cbe1363
01_悬疑惊悚,3462740936,565366932,有没有爽到头皮发麻的爽文？,七水,9117,1.0,3984,1372,https://www.zhihu.com/question/565366932/answer/3462740936,01_悬疑惊悚/3462740936_565366932.txt,01_悬疑惊悚/3462740936_565366932.json,fa2bef99a2606b43e8fe06e7b08a1efa7bbfcca96ccf050cf247245c8aee7f38
01_悬疑惊悚,2476154421,472870216,有没有让你感触最深的恐怖故事？,南迦巴瓦遇见亚丁,6417,1.0,3816,4338,https://www.zhihu.com/question/472870216/answer/2476154421,01_悬疑惊悚/2476154421_472870216.txt,01_悬疑惊悚/2476154421_472870216.json,8bd73a614739080eef8303b10a2aa28d9982ce740d06c5567eb590eae946c1ba
01_悬疑惊悚,2435735111,526512935,长篇创作马拉松第二季：有哪些推理满分或脑洞十足的故事让人大呼过瘾？,海的鸽子,8367,1.0,3795,4211,https://www.zhihu.com/question/526512935/answer/2435735111,01_悬疑惊悚/2435735111_526512935.txt,01_悬疑惊悚/2435735111_526512935.json,91dd116be24895d24ef13bc9e59b3afa3640fbf4eecffa1c5d2273f4d85e96ad
01_悬疑惊悚,3399250684,352071986,有没有好看的完结末世丧尸文？,草木生生,7996,1.0,3685,1077,https://www.zhihu.com/question/352071986/answer/3399250684,01_悬疑惊悚/3399250684_352071986.txt,01_悬疑惊悚/3399250684_352071986.json,08bf63c7d8c40691e958909ab7c5422c5e96232b34dafe2bcff66223a424e993
01_悬疑惊悚,3275830426,559196648,有没有非常刺激的病娇文？,黎浓露,5128,1.0,3675,2359,https://www.zhihu.com/question/559196648/answer/3275830426,01_悬疑惊悚/3275830426_559196648.txt,01_悬疑惊悚/3275830426_559196648.json,501c551ef6390fbc2d2d157e07fab0462c84f38f42592d3b317f918a925be85c
01_悬疑惊悚,2944521006,348025005,有哪些诡异邪性的民间故事？,中书君,5005,1.0,3622,4204,https://www.zhihu.com/question/348025005/answer/2944521006,01_悬疑惊悚/2944521006_348025005.txt,01_悬疑惊悚/2944521006_348025005.json,57c758fb015be85247f310664b98b0f5a32cfaa3c9e00a6d4dc3224072178ff7
01_悬疑惊悚,2405516386,21490596,你所经历过的最恐怖惊悚的故事是什么？,胖可丁,7759,1.0,3529,3462,https://www.zhihu.com/question/21490596/answer/2405516386,01_悬疑惊悚/2405516386_21490596.txt,01_悬疑惊悚/2405516386_21490596.json,45d42d06023d18863ba29db5081b83770c6a541ca829d3eb5a03db5ab94efe0c
01_悬疑惊悚,3341945229,340472181,有哪些你看过不舍得删的种田文？,风触琴鸣,6259,1.0,3342,1778,https://www.zhihu.com/question/340472181/answer/3341945229,01_悬疑惊悚/3341945229_340472181.txt,01_悬疑惊悚/3341945229_340472181.json,126cbcb51a4745880d4223b3f35776a3ec8a322d2f65ad953761ad17fac12d89
01_悬疑惊悚,2537057181,37248069,有哪些令人拍案叫绝的推理桥段？,黄苏苏,9330,1.0,3112,6424,https://www.zhihu.com/question/37248069/answer/2537057181,01_悬疑惊悚/2537057181_37248069.txt,01_悬疑惊悚/2537057181_37248069.json,541f19fd3cd3a8a0acf7073be5ec407bbf40c246d81f839b22e8d9878e9ba097
01_悬疑惊悚,3169826813,459329916,你经历的最恐怖的瞬间是什么 ?,Ginn,6760,1.0,2975,1458,https://www.zhihu.com/question/459329916/answer/3169826813,01_悬疑惊悚/3169826813_459329916.txt,01_悬疑惊悚/3169826813_459329916.json,3833507763ffa741f865c01cf928ebddf2a232ec4aa8dd66f6abb47381642e43
01_悬疑惊悚,2763928800,534844897,如何以「我怀疑，我是恐怖小说的NPC」为开头写一篇文？,,8793,1.0,2919,1623,https://www.zhihu.com/question/534844897/answer/2763928800,01_悬疑惊悚/2763928800_534844897.txt,01_悬疑惊悚/2763928800_534844897.json,55a2faabe73197a46e804ca1f403ccad10181bc0a2dbae03b1cc56023c68be19
01_悬疑惊悚,1859328724,293120775,有什么真的很恐怖或细思恐极的鬼故事？,怪奇异闻录,8209,1.0,2872,1981,https://www.zhihu.com/question/293120775/answer/1859328724,01_悬疑惊悚/1859328724_293120775.txt,01_悬疑惊悚/1859328724_293120775.json,76b611cfed4aaf6bcab0b79f4e32b0270cd1692df383d494a9102ed6c9c02501
02_古风穿越重生,3323322477,336867937,有没有女主性格很冷漠小说?,十四棋,6632,1.0,89623,40384,https://www.zhihu.com/question/336867937/answer/3323322477,02_古风穿越重生/3323322477_336867937.txt,02_古风穿越重生/3323322477_336867937.json,2f9b875817a32ad9821a6e272bb0415991022e1adb3f026269c3ac7ce256b816
02_古风穿越重生,2686099700,342327227,有哪些好看的宅斗文值得推荐?,宫墙往事,6443,1.0,70996,36390,https://www.zhihu.com/question/342327227/answer/2686099700,02_古风穿越重生/2686099700_342327227.txt,02_古风穿越重生/2686099700_342327227.json,47757bca9daf31bab78d6a11a978fb4814c02ff7046a1729441a4834f71a1534
02_古风穿越重生,2527439627,537501620,如何以「他说要娶我，予我凤冠霞帔，不曾想到头来却食了言」为开头写一篇不是为虐而虐的虐文？,半裁明月,6585,1.0,65108,98071,https://www.zhihu.com/question/537501620/answer/2527439627,02_古风穿越重生/2527439627_537501620.txt,02_古风穿越重生/2527439627_537501620.json,794ed0abc62098b1106cba0e39ecad1e2ef0da03b5673f05867e709f93c7d0b7
